Date,Open,High,Low,Close,Adj Close,Volume
2020-06-25,197.800003,200.610001,195.470001,200.339996,196.811722,27803900
2020-06-26,199.729996,199.889999,194.880005,196.330002,192.872330,54675800
2020-06-29,195.779999,198.529999,193.550003,198.440002,194.945190,26701600
2020-06-30,197.880005,204.399994,197.740005,203.509995,199.925858,34310300
2020-07-01,203.139999,206.350006,201.770004,204.699997,201.094925,32061200
2020-07-02,205.679993,208.020004,205.000000,206.259995,202.627472,29315800
2020-07-06,208.830002,211.130005,208.089996,210.699997,206.989258,31897600
2020-07-07,210.449997,214.669998,207.990005,208.250000,204.582428,33600700
2020-07-08,210.070007,213.259995,208.690002,212.830002,209.081757,33600000
2020-07-09,216.330002,216.380005,211.470001,214.320007,210.545517,33121700
2020-07-10,213.619995,214.080002,211.080002,213.669998,209.906967,26177600
2020-07-13,214.479996,215.800003,206.500000,207.070007,203.423233,38135600
2020-07-14,206.130005,208.850006,202.029999,208.350006,204.680649,37591800
2020-07-15,209.559998,211.330002,205.029999,208.039993,204.376114,32179400
2020-07-16,205.399994,205.699997,202.309998,203.919998,200.328674,29940700
2020-07-17,204.470001,205.039993,201.389999,202.880005,199.307007,31635300
2020-07-20,205.000000,212.300003,203.009995,211.600006,207.873413,36884800
2020-07-21,213.660004,213.940002,208.029999,208.750000,205.073639,37990400
2020-07-22,209.199997,212.300003,208.389999,211.750000,208.020782,49605700
2020-07-23,207.190002,210.919998,202.149994,202.539993,198.972977,67457000
2020-07-24,200.419998,202.860001,197.509995,201.300003,197.754822,39827000
2020-07-27,201.470001,203.970001,200.860001,203.850006,200.259903,30160900
2020-07-28,203.610001,204.699997,201.740005,202.020004,198.462128,23251400
2020-07-29,202.500000,204.649994,202.009995,204.059998,200.466217,19632600
2020-07-30,201.000000,204.460007,199.570007,203.899994,200.309021,25079600
2020-07-31,204.399994,205.100006,199.009995,205.009995,201.399475,51044000
2020-08-03,211.520004,217.639999,210.440002,216.539993,212.726379,78983000
2020-08-04,214.169998,214.770004,210.309998,213.289993,209.533661,49280100
2020-08-05,214.899994,215.000000,211.570007,212.940002,209.189819,28806400
2020-08-06,212.339996,216.369995,211.550003,216.350006,212.539780,32656800
2020-08-07,214.850006,215.699997,210.929993,212.479996,208.737915,27820400
2020-08-10,211.669998,211.880005,206.350006,208.250000,204.582428,36716500
2020-08-11,207.160004,207.649994,203.139999,203.380005,199.798187,36446500
2020-08-12,205.289993,210.279999,204.750000,209.190002,205.505875,28013100
2020-08-13,209.440002,211.350006,208.149994,208.699997,205.024490,22588900
